DATA	GSM839353	GSM839354	GSM839355	GSM839356	GSM839357	GSM839358	GSM839359	GSM839360	GSM839361	GSM839362	GSM839363	GSM839364
RP11-196G18.23	3.9945271915	4.1122242675	4.088846438	4.0993083165	4.5983726965	4.732948509	4.889512702499999	4.764865262000001	3.883590882	3.8028304255	4.221211835	3.8405477665
RP11-196G18.24	5.485303089	5.374668195	5.364531915	5.484739723	5.25408013	5.572793649	5.536013453	5.206474202	5.537067861	5.479506597	5.802477198	5.493507331
RP11-199F11.2	7.382036716	7.289303866	7.223781618	7.337573744	7.50891889	7.806584297	7.704841104	7.507459155	7.39709119	7.516991022	7.596120062	7.430134158
RP11-1C8.6	4.253643216	4.293751928	4.3989606	4.482081971	3.885823643	4.198331466	4.202492652	4.222685326	4.293987624	4.410133521	4.22437806	4.690989031
RP11-1E4.1	3.622670441	3.439250697	3.566260153	3.314970786	3.423387674	3.214967585	3.301428998	3.45524311	3.408828821	3.266918508	3.107291309	3.35931146
RP11-1L12.3	3.959874238	3.971636331	3.705415263	3.842693545	4.209754954	4.23499779	4.080473413	4.006446004	3.986274379	4.116226379	4.114272222	4.097209618
RP11-201A3.1	2.966817816	2.991104213	3.181349674	2.889376141	2.778076696	2.963066794	2.939005063	2.695699062	3.079727527	2.708904851	2.827396455	2.702576436
RP11-203B7.1	3.389256836	3.257556309	3.303682258	3.577718173	3.469161908	3.317870973	3.205189836	3.27476997	3.170974519	3.358163331	3.565015474	3.470403127
RP11-203B7.2	4.07689018	3.946777622	4.032372796	4.104315078	4.256761641	4.221449114	3.997521471	4.260571915	3.974818723	3.97039645	4.160456759	4.198881951
RP11-209A2.1	11.65618793	11.64015466	11.77482275	11.7434297	11.65611022	11.85188525	11.92599228	11.65128845	11.80272453	11.75565765	11.77694518	11.76973844
RP11-209D14.2	4.3740073365	4.185365377	4.3678581755	4.38435675	4.748884417999999	4.4298215175	4.385971677	4.6030269525	4.435201717	4.6089807045	4.1059143915	4.42056261
RP11-210K20.4	2.686543237	2.890093799	2.745486607	2.821836798	2.877863727	2.919158571	3.080692437	2.667984012	2.888551119	2.720399995	2.996212653	2.968195701
RP11-210M15.2	3.061241852	3.202474053	3.190367872	3.423218696	3.109996119	3.191326019	3.1519128	3.152140829	3.105465297	3.182575036	3.195266551	3.169145073
RP11-212P7.2	5.965315163	5.9330407175	5.932931863	5.9822157395	5.5629992805	5.7221948145	5.586151322	5.3217505085	6.0532373605	6.2468383329999995	6.171246216	6.1792680525
RP11-214K3.19	5.925858029	5.816276787	5.948341466	6.103207766	6.142916583	5.987261262	5.811099716	6.152157314	6.126865729	5.987261262	5.841762142	6.176619725
RP11-214K3.20	2.8066448125	2.8478175115	2.9698482435	2.8426194765000004	2.814449832	2.772982949	2.9332188725	2.8970832185	2.934569022	2.782829684	2.7702557515	2.803496013
RP11-214N1.1	3.282561381	3.14831017	3.302186626	3.190075866	3.056756142	3.271778342	3.182782658	3.069273299	2.972331211	3.10025829	3.154828734	3.221351127
RP11-214N9.1	4.788712838	4.760553263	4.528414245	4.817370377	4.765190883	4.63231128	4.944736849	5.025766553	4.592416089	4.899083991	4.735525513	4.584074546
RP11-215E13.2	3.534479278	3.811044507	3.732491876	3.229109538	3.525711328	3.49295903	3.484036489	3.523112585	3.414295849	3.498907098	3.045126797	3.46404769
RP11-215H22.1	3.738456457	3.85946123	3.595816167	3.733657887	3.786357717	3.559463795	3.521357346	4.195702154	3.812360429	3.827640643	3.764177574	3.767410366
RP11-216L13.19	5.929173309	6.08985444	6.104503644	6.178913909	6.612673287	6.557923078	6.733335317	6.354199499	6.008304311	5.601362331	6.20234478	6.033920471
